N,P,K,temperature,humidity,ph,rainfall,soil_type,season,region,soil_moisture,irrigation,sunlight,crop
75.3,36.9,96.6,18.82,78.24,5.73,1985.59,Peaty,Whole Year,South India,72.66,Rainfed,7.31,Coffee
64.3,50.1,54.8,16.94,50.46,6.49,347.96,Loamy,Rabi,West India,41.21,Available,7.44,Mustard
104.6,59.6,52.6,25.32,59.53,6.4,879.03,Loamy,Rabi,North India,53.69,Available,8.15,Wheat
24.8,52.6,30.6,17.12,47.17,6.54,331.2,Loamy,Rabi,North India,41.37,Rainfed,7.82,Lentil
37.9,34.7,33.6,29.4,45.68,7.55,386.01,Sandy,Kharif,Central India,29.44,Rainfed,9.47,Millet
86.8,88.8,142.1,19.44,72.65,5.3,525.44,Loamy,Rabi,North India,53.47,Available,7.04,Potato
51.6,57.0,23.7,14.22,62.75,7.35,423.12,Sandy,Rabi,West India,45.49,Rainfed,6.58,Mustard
86.2,36.5,29.5,22.95,60.66,6.53,942.33,Sandy,Kharif,Central India,59.78,Available,9.55,Maize
117.2,104.2,154.9,31.03,85.1,6.33,2114.67,Clay,Whole Year,West India,79.08,Available,8.55,Banana
101.7,54.8,96.4,17.64,80.93,5.72,2272.25,Peaty,Whole Year,South India,73.46,Rainfed,6.27,Coffee
130.6,58.0,52.8,24.73,79.39,5.38,2498.87,Loamy,Whole Year,East India,71.83,Rainfed,6.6,Tea
16.8,67.4,29.2,14.03,48.93,6.47,556.24,Loamy,Rabi,North India,41.54,Rainfed,7.49,Lentil
26.5,70.9,27.8,12.62,39.16,6.89,413.88,Black Soil,Rabi,Central India,46.54,Rainfed,8.36,Chickpea
38.7,66.4,37.3,25.06,66.42,6.52,729.44,Sandy,Kharif,West India,43.72,Rainfed,7.08,Groundnut
63.4,36.7,102.9,33.84,82.58,6.31,1977.81,Loamy,Whole Year,South India,60.23,Available,9.6,Coconut
143.2,61.3,78.9,23.76,83.36,4.44,2578.61,Peaty,Whole Year,East India,78.28,Rainfed,5.82,Tea
83.9,94.4,105.5,21.96,71.87,5.79,647.35,Loamy,Rabi,East India,69.13,Available,6.95,Potato
48.5,25.3,30.7,29.29,51.41,6.87,438.31,Red Soil,Kharif,West India,33.68,Rainfed,9.96,Millet
53.3,33.5,135.1,28.24,86.86,7.23,1512.0,Sandy,Whole Year,West India,73.76,Available,8.68,Coconut
44.5,28.7,34.0,31.78,52.06,6.28,620.57,Sandy,Kharif,Central India,44.05,Rainfed,10.22,Millet
118.9,56.7,38.7,27.98,60.37,7.72,1095.86,Black Soil,Kharif,West India,52.75,Available,8.73,Cotton
106.5,50.9,42.7,25.22,81.05,5.84,2351.29,Loamy,Kharif,East India,81.01,Available,7.55,Rice
99.9,67.7,84.6,29.61,56.17,5.79,1068.86,Red Soil,Whole Year,West India,49.83,Rainfed,7.84,Mango
74.9,41.7,41.8,9.88,58.04,7.16,568.24,Loamy,Rabi,North India,48.25,Rainfed,6.34,Barley
131.5,43.5,75.3,31.05,70.19,7.26,738.76,Loamy,Kharif,West India,44.14,Available,9.05,Cotton
47.7,52.2,129.1,35.85,83.91,5.57,1946.36,Sandy,Whole Year,West India,54.43,Rainfed,7.32,Coconut
134.3,79.7,57.6,19.74,48.35,7.34,593.44,Loamy,Rabi,Central India,56.13,Available,6.22,Wheat
130.8,98.0,146.5,31.21,81.08,5.88,1632.61,Loamy,Whole Year,West India,95.01,Available,6.01,Banana
81.9,35.4,27.7,22.82,53.88,7.33,478.29,Loamy,Rabi,North India,41.04,Available,7.92,Barley
92.8,68.8,108.0,20.73,80.72,5.47,2043.68,Peaty,Whole Year,South India,71.92,Available,6.08,Coffee
114.9,74.6,96.6,27.46,58.54,6.35,1102.6,Red Soil,Kharif,South India,60.29,Drip Irrigation,8.79,Tomato
114.0,47.0,65.8,22.77,90.59,5.16,2855.53,Loamy,Whole Year,East India,75.91,Rainfed,5.21,Tea
54.4,75.7,54.9,25.4,77.49,7.27,820.54,Black Soil,Kharif,West India,64.5,Rainfed,5.37,Soybean
119.3,51.2,62.0,36.63,49.37,7.16,779.81,Black Soil,Kharif,Central India,51.35,Available,8.78,Cotton
77.9,39.7,31.6,15.57,62.74,7.27,429.53,Loamy,Rabi,West India,34.37,Available,7.27,Mustard
102.3,72.2,97.1,25.53,60.7,6.79,847.66,Sandy,Kharif,South India,58.77,Available,6.87,Tomato
65.3,58.8,29.2,17.6,56.78,6.73,580.31,Loamy,Rabi,North India,39.41,Rainfed,8.95,Mustard
92.5,29.7,49.5,14.79,44.08,7.7,603.94,Loamy,Rabi,North India,45.59,Available,8.6,Barley
102.5,49.0,92.1,24.84,86.25,5.62,2417.53,Peaty,Whole Year,South India,76.66,Rainfed,5.91,Coffee
128.2,52.9,40.4,24.48,56.73,7.02,680.21,Black Soil,Kharif,West India,56.6,Available,10.05,Cotton
84.4,110.1,139.4,22.68,53.95,6.05,549.23,Loamy,Rabi,East India,60.86,Available,9.5,Potato
108.4,125.8,121.6,11.57,62.87,5.74,689.7,Loamy,Rabi,East India,70.21,Drip Irrigation,9.35,Potato
70.3,42.8,111.5,30.87,85.52,6.61,1768.87,Loamy,Whole Year,West India,70.48,Available,8.15,Coconut
107.5,66.5,93.4,18.36,74.21,6.12,2395.17,Peaty,Whole Year,South India,72.07,Available,6.56,Coffee
48.2,67.2,50.1,23.23,64.74,6.83,888.07,Black Soil,Kharif,West India,69.25,Rainfed,6.67,Soybean
111.0,84.0,93.6,26.98,67.56,6.4,802.56,Loamy,Kharif,South India,48.88,Drip Irrigation,8.51,Tomato
78.0,55.8,48.3,29.77,43.83,7.85,545.26,Sandy,Rabi,West India,39.16,Available,8.12,Sorghum
53.0,27.5,50.2,33.92,48.59,7.17,550.06,Red Soil,Kharif,Central India,25.05,Rainfed,10.17,Millet
109.9,50.2,44.3,13.92,57.58,7.68,358.55,Loamy,Rabi,North India,42.77,Available,7.01,Mustard
25.1,32.0,35.1,16.62,46.92,6.21,563.27,Loamy,Rabi,North India,39.48,Available,7.12,Lentil
92.9,40.6,83.9,23.39,74.35,6.0,1623.0,Peaty,Whole Year,South India,67.48,Available,5.66,Coffee
110.5,36.5,31.5,23.86,67.86,7.47,1013.98,Sandy,Rabi,North India,67.56,Available,7.89,Maize
107.0,88.8,132.7,27.79,73.06,6.87,2059.37,Loamy,Whole Year,South India,77.66,Available,8.78,Banana
168.7,65.7,57.9,23.99,72.51,7.37,1596.87,Clay,Whole Year,West India,75.07,Available,8.9,Sugarcane
35.3,43.6,40.1,26.8,70.04,6.32,889.79,Sandy,Kharif,West India,51.37,Available,8.78,Groundnut
51.1,29.6,34.5,28.19,36.43,6.98,432.19,Red Soil,Kharif,West India,42.93,Rainfed,9.5,Millet
89.2,64.5,71.7,13.53,63.11,6.2,584.75,Loamy,Rabi,North India,47.49,Canal Irrigation,8.28,Wheat
19.6,50.4,40.8,20.78,52.29,7.09,588.36,Loamy,Rabi,Central India,30.87,Rainfed,8.84,Chickpea
66.9,51.3,124.8,33.48,79.63,6.47,1923.07,Sandy,Whole Year,South India,70.38,Available,9.27,Coconut
86.9,54.2,104.8,21.53,79.26,6.36,2311.08,Peaty,Whole Year,South India,66.83,Available,4.55,Coffee
70.5,41.0,48.9,21.91,82.87,6.52,1973.9,Clay,Kharif,North India,83.14,Available,6.18,Rice
57.9,29.3,14.2,31.45,30.2,7.11,626.65,Sandy,Kharif,Central India,45.27,Rainfed,8.17,Millet
58.0,39.4,29.4,31.63,49.15,6.98,372.47,Sandy,Kharif,Central India,41.01,Rainfed,10.78,Millet
21.5,63.2,22.6,19.25,38.11,7.16,610.23,Black Soil,Rabi,Central India,50.0,Rainfed,8.2,Chickpea
154.7,48.5,68.8,26.6,70.29,7.49,2550.54,Black Soil,Whole Year,North India,78.84,Available,9.21,Sugarcane
138.4,71.7,51.4,29.01,58.43,7.42,837.14,Black Soil,Kharif,Central India,44.73,Rainfed,7.84,Cotton
71.2,39.7,44.6,16.49,52.35,7.17,487.44,Loamy,Rabi,Himalayan Region,42.25,Rainfed,7.74,Barley
24.8,59.5,37.4,17.65,48.86,7.15,528.47,Black Soil,Rabi,Central India,31.22,Rainfed,7.87,Chickpea
50.1,57.2,108.0,26.87,77.69,6.45,1744.06,Loamy,Whole Year,West India,67.03,Rainfed,9.41,Coconut
127.1,59.2,59.4,18.01,88.83,4.96,2497.07,Loamy,Whole Year,Himalayan Region,84.15,Rainfed,6.57,Tea
20.8,52.7,38.9,19.76,54.01,6.57,434.22,Loamy,Rabi,North India,38.12,Rainfed,5.82,Lentil
94.7,40.0,64.4,30.04,59.12,6.81,1284.36,Loamy,Whole Year,North India,56.68,Available,10.39,Mango
75.9,51.4,45.7,13.0,54.95,6.16,409.62,Loamy,Rabi,North India,33.51,Available,8.76,Mustard
38.3,12.0,39.9,26.8,46.07,6.75,422.86,Red Soil,Kharif,West India,38.68,Rainfed,8.26,Millet
101.4,72.7,103.7,24.78,60.44,6.58,706.78,Loamy,Whole Year,North India,72.7,Drip Irrigation,7.81,Tomato
34.8,52.8,49.9,35.0,59.81,6.46,746.88,Loamy,Kharif,South India,41.4,Rainfed,8.88,Groundnut
22.6,51.8,28.7,23.72,58.54,6.79,572.68,Loamy,Rabi,North India,39.3,Available,7.24,Lentil
38.7,85.8,49.1,25.26,75.83,6.43,692.91,Black Soil,Kharif,Central India,60.64,Rainfed,9.59,Soybean
62.9,34.9,26.7,30.49,51.22,6.31,499.78,Sandy,Kharif,Central India,33.57,Rainfed,11.53,Millet
124.6,64.6,83.7,29.82,53.99,7.34,1152.22,Loamy,Whole Year,South India,47.22,Rainfed,8.04,Mango
24.9,44.3,40.2,18.7,37.04,7.37,529.21,Loamy,Rabi,North India,45.58,Available,9.15,Chickpea
45.3,44.3,125.9,29.59,81.29,5.78,1690.71,Sandy,Whole Year,South India,74.12,Rainfed,9.26,Coconut
60.4,36.5,122.7,27.27,81.5,6.72,1863.71,Sandy,Whole Year,West India,71.05,Rainfed,8.61,Coconut
101.6,92.9,106.8,23.84,57.61,5.88,533.3,Loamy,Rabi,North India,67.98,Available,8.85,Potato
70.2,28.0,32.0,31.86,37.76,6.1,486.72,Sandy,Kharif,Central India,30.01,Rainfed,10.08,Millet
86.3,88.9,119.0,20.37,77.04,5.46,539.42,Loamy,Rabi,North India,57.69,Available,7.79,Potato
73.1,42.6,43.8,17.86,50.36,7.1,610.19,Loamy,Rabi,Himalayan Region,57.96,Available,10.13,Barley
127.6,40.8,70.3,19.98,81.46,4.7,2198.4,Loamy,Whole Year,East India,86.65,Rainfed,7.9,Tea
97.6,102.9,142.1,26.79,60.33,6.11,364.67,Loamy,Rabi,East India,55.54,Available,6.76,Potato
64.3,38.1,139.3,27.57,89.04,6.32,1891.18,Sandy,Whole Year,West India,68.3,Rainfed,9.21,Coconut
67.8,68.9,46.1,19.35,48.44,6.62,414.66,Sandy,Rabi,North India,39.28,Rainfed,6.55,Mustard
114.3,69.6,114.2,25.51,71.74,7.2,862.53,Sandy,Rabi,South India,57.69,Available,7.88,Tomato
57.4,46.9,58.5,15.03,53.49,6.67,656.32,Loamy,Rabi,North India,37.48,Available,7.1,Barley
43.7,24.8,45.6,33.92,45.49,5.84,495.38,Loamy,Kharif,West India,29.27,Rainfed,7.21,Millet
30.4,55.4,31.3,15.08,59.46,6.39,493.54,Silty,Rabi,East India,47.55,Available,6.68,Lentil
111.5,91.4,92.0,26.19,55.29,6.51,823.64,Loamy,Kharif,South India,57.1,Drip Irrigation,8.58,Tomato
102.7,89.5,91.7,19.8,61.9,5.56,630.65,Loamy,Rabi,North India,65.79,Available,8.03,Potato
76.2,28.8,117.9,31.62,85.64,5.79,2246.29,Loamy,Whole Year,South India,73.56,Available,8.1,Coconut
81.5,37.6,30.1,15.64,41.59,7.56,504.59,Sandy,Rabi,North India,49.64,Rainfed,8.78,Barley
173.1,111.0,143.7,26.88,82.38,6.45,2844.32,Clay,Whole Year,East India,81.52,Drip Irrigation,9.23,Banana
96.2,61.8,39.4,23.42,73.16,6.43,690.44,Loamy,Kharif,North India,61.42,Available,7.88,Maize
80.0,27.7,44.3,22.94,56.32,6.0,996.67,Loamy,Kharif,Central India,50.12,Rainfed,7.81,Maize
45.7,87.4,52.0,27.29,73.06,6.41,854.12,Black Soil,Kharif,Central India,62.29,Available,6.53,Soybean
68.4,53.2,75.4,28.75,48.93,6.19,1220.66,Loamy,Whole Year,South India,36.25,Rainfed,9.22,Mango
42.1,33.8,43.6,28.97,37.14,5.67,461.83,Sandy,Kharif,West India,28.22,Rainfed,8.93,Millet
77.1,34.9,47.1,27.67,78.79,6.58,2370.03,Clay,Kharif,East India,68.27,Available,7.8,Rice
116.7,51.6,118.4,24.11,61.88,6.44,815.72,Sandy,Whole Year,West India,64.23,Drip Irrigation,7.48,Tomato
97.1,52.5,53.2,28.49,82.66,5.74,1917.69,Clay,Kharif,East India,89.2,Available,5.9,Rice
131.7,77.0,168.0,30.45,83.28,5.82,2373.91,Loamy,Whole Year,South India,73.5,Drip Irrigation,8.99,Banana
39.0,43.6,116.7,25.64,83.54,6.51,2240.93,Loamy,Whole Year,South India,67.56,Rainfed,9.16,Coconut
121.3,57.4,67.2,17.45,56.08,6.31,429.68,Loamy,Rabi,North India,46.59,Available,8.59,Wheat
48.0,57.2,57.5,28.65,61.49,6.66,734.75,Black Soil,Kharif,Central India,67.47,Rainfed,9.06,Soybean
36.2,57.1,43.1,23.94,64.26,6.37,724.8,Sandy,Kharif,South India,57.9,Rainfed,9.07,Groundnut
48.2,31.2,59.3,24.64,63.02,6.53,642.47,Sandy,Kharif,South India,44.7,Rainfed,9.16,Groundnut
121.2,49.3,74.5,19.23,84.47,5.08,2111.36,Peaty,Whole Year,East India,85.94,Rainfed,4.23,Tea
60.4,33.8,24.6,37.1,54.29,6.67,603.15,Red Soil,Kharif,West India,33.77,Rainfed,8.8,Millet
122.1,52.9,49.6,22.65,68.76,7.49,895.43,Black Soil,Kharif,West India,47.97,Rainfed,8.99,Cotton
30.1,47.2,39.7,21.15,57.42,7.06,466.83,Loamy,Rabi,North India,44.88,Rainfed,6.9,Lentil
111.0,77.0,81.9,27.11,76.52,7.27,1884.51,Clay,Whole Year,North India,71.24,Available,7.28,Sugarcane
36.2,44.4,62.5,27.49,48.31,6.72,790.27,Sandy,Kharif,South India,43.72,Available,7.56,Groundnut
136.9,48.8,56.0,17.51,59.69,6.99,1058.8,Clay,Rabi,North India,54.3,Available,7.28,Wheat
33.1,66.5,44.6,21.5,45.88,7.71,433.88,Black Soil,Rabi,Central India,49.28,Rainfed,6.9,Chickpea
103.9,69.9,97.5,29.63,62.83,6.85,905.76,Loamy,Whole Year,South India,53.72,Drip Irrigation,9.75,Tomato
125.4,52.7,59.3,36.12,66.44,6.98,889.92,Black Soil,Kharif,Central India,57.91,Rainfed,9.13,Cotton
72.4,20.6,32.4,23.33,40.0,7.26,341.11,Sandy,Kharif,Central India,41.49,Rainfed,9.32,Millet
80.0,52.2,79.0,34.55,60.24,7.48,1170.38,Black Soil,Kharif,South India,56.56,Drip Irrigation,8.96,Cotton
64.4,50.5,50.9,28.27,74.27,6.13,2494.8,Clay,Kharif,South India,69.85,Rainfed,7.61,Rice
15.9,68.5,60.2,28.44,62.01,5.17,717.42,Sandy,Kharif,South India,49.59,Rainfed,7.96,Groundnut
46.1,21.1,28.2,29.59,42.12,6.76,526.93,Sandy,Kharif,Central India,33.98,Rainfed,11.1,Millet
75.4,51.4,39.3,15.63,63.38,6.11,1003.43,Loamy,Kharif,North India,61.64,Rainfed,8.4,Maize
172.5,83.0,171.0,27.03,75.56,6.76,2237.62,Loamy,Whole Year,East India,66.92,Drip Irrigation,8.33,Banana
54.1,19.3,32.3,28.56,47.83,5.99,629.3,Loamy,Kharif,West India,24.04,Rainfed,8.63,Millet
31.7,70.0,44.9,29.73,60.76,6.61,698.35,Sandy,Zaid,West India,55.37,Available,8.93,Groundnut
110.0,55.4,50.2,24.61,83.83,5.33,2621.5,Loamy,Whole Year,Himalayan Region,86.69,Rainfed,6.16,Tea
88.0,47.6,98.3,17.18,83.15,5.74,1784.21,Loamy,Whole Year,South India,63.82,Rainfed,6.99,Coffee
104.6,53.9,118.9,17.57,75.22,5.91,2055.17,Loamy,Whole Year,South India,81.79,Rainfed,6.37,Coffee
101.4,47.8,38.5,28.66,82.79,6.11,2535.77,Clay,Kharif,North India,77.91,Available,6.42,Rice
65.8,51.1,44.7,15.29,49.51,7.4,571.46,Loamy,Rabi,North India,43.07,Rainfed,7.34,Barley
38.2,80.3,43.6,24.39,66.81,6.54,795.96,Black Soil,Kharif,West India,60.86,Rainfed,7.16,Soybean
111.9,62.2,64.0,16.07,52.09,6.87,873.38,Silty,Rabi,North India,52.17,Available,7.66,Wheat
31.1,46.9,39.6,28.63,76.72,6.79,759.96,Black Soil,Kharif,West India,70.64,Rainfed,7.36,Soybean
23.3,33.0,63.4,30.29,52.62,6.31,896.19,Sandy,Kharif,West India,53.95,Rainfed,7.87,Groundnut
140.1,42.5,38.7,31.99,43.52,6.92,758.96,Black Soil,Kharif,Central India,64.85,Available,8.6,Cotton
106.1,76.2,36.9,20.62,55.75,6.8,664.25,Loamy,Rabi,Central India,53.31,Canal Irrigation,7.43,Wheat
134.9,75.1,95.3,20.06,75.93,6.5,765.22,Red Soil,Kharif,West India,75.41,Drip Irrigation,7.26,Tomato
45.6,35.7,47.9,14.79,58.99,7.03,219.89,Sandy,Rabi,West India,37.36,Available,8.08,Mustard
39.6,75.8,49.9,25.65,83.72,6.69,926.35,Black Soil,Kharif,Central India,49.23,Rainfed,7.77,Soybean
78.7,38.3,34.2,17.39,36.73,7.88,487.3,Sandy,Rabi,North India,42.71,Available,7.63,Barley
114.0,103.7,90.0,19.32,65.39,5.83,430.68,Loamy,Rabi,East India,62.44,Available,6.62,Potato
52.1,40.4,58.7,30.4,52.47,6.47,594.19,Black Soil,Kharif,Central India,42.5,Rainfed,8.59,Sorghum
132.6,71.3,54.3,13.79,35.52,7.51,788.5,Loamy,Rabi,West India,48.5,Available,7.52,Wheat
109.2,56.6,99.1,22.61,81.66,5.46,2119.85,Peaty,Whole Year,South India,75.46,Rainfed,6.87,Coffee
101.0,66.8,54.4,25.17,65.9,6.62,919.67,Sandy,Kharif,North India,61.9,Available,8.27,Maize
79.4,48.8,29.4,27.61,40.37,7.25,529.92,Loamy,Rabi,South India,24.41,Rainfed,9.48,Sorghum
99.5,83.7,121.4,15.05,65.72,5.31,658.71,Loamy,Rabi,North India,65.17,Available,7.98,Potato
99.6,98.2,126.9,14.84,59.84,6.25,629.78,Loamy,Rabi,North India,60.66,Available,7.33,Potato
41.8,67.2,45.7,25.15,74.33,7.23,925.25,Black Soil,Kharif,Central India,70.35,Rainfed,4.65,Soybean
18.0,60.2,37.2,14.88,62.16,7.36,410.83,Loamy,Rabi,North India,42.84,Rainfed,5.36,Lentil
71.4,28.2,36.4,28.93,61.5,5.94,631.21,Loamy,Kharif,West India,34.89,Rainfed,9.34,Millet
84.5,48.7,24.7,18.64,68.24,5.79,1025.83,Sandy,Rabi,Central India,43.75,Available,7.62,Maize
60.8,33.7,122.8,27.52,78.19,6.14,2105.1,Sandy,Whole Year,South India,80.6,Available,8.84,Coconut
52.7,39.0,122.7,33.97,81.86,7.4,1934.76,Loamy,Whole Year,South India,71.52,Rainfed,10.31,Coconut
66.1,58.0,39.3,16.89,50.55,6.55,447.36,Loamy,Rabi,North India,48.37,Rainfed,7.25,Mustard
152.6,69.4,59.2,19.4,51.13,6.84,823.35,Loamy,Rabi,West India,43.94,Available,7.39,Wheat
140.5,82.0,151.4,25.89,87.62,6.3,2407.49,Clay,Whole Year,South India,78.71,Drip Irrigation,6.84,Banana
56.9,31.6,25.2,25.99,41.28,7.42,507.71,Sandy,Kharif,Central India,24.35,Rainfed,9.47,Millet
113.7,86.3,124.2,29.42,83.65,6.54,2210.99,Loamy,Whole Year,West India,77.15,Drip Irrigation,8.58,Banana
56.5,43.7,135.9,29.79,89.51,6.6,1739.7,Sandy,Whole Year,South India,74.03,Available,9.01,Coconut
99.2,55.1,96.5,21.77,73.77,6.0,2132.58,Loamy,Whole Year,South India,76.07,Rainfed,7.69,Coffee
94.2,44.4,111.2,21.71,73.07,5.87,2274.62,Loamy,Whole Year,South India,62.67,Available,3.59,Coffee
88.6,26.1,53.4,22.26,68.8,6.64,867.06,Loamy,Rabi,South India,55.53,Available,8.89,Maize
69.3,29.2,52.4,23.27,47.44,7.14,470.33,Black Soil,Kharif,West India,37.96,Available,9.05,Sorghum
81.7,46.8,50.5,14.77,65.5,7.15,298.68,Loamy,Rabi,North India,51.1,Available,7.81,Mustard
54.7,45.1,152.9,31.85,86.12,6.52,1929.06,Sandy,Whole Year,South India,64.6,Rainfed,8.02,Coconut
47.0,43.3,42.6,28.61,70.8,6.34,698.15,Loamy,Zaid,West India,44.25,Rainfed,8.56,Groundnut
47.8,61.7,49.3,23.82,72.81,6.35,687.53,Black Soil,Kharif,West India,49.99,Rainfed,7.24,Soybean
75.7,48.4,129.4,25.99,76.33,7.12,1829.1,Sandy,Whole Year,South India,55.74,Available,7.71,Coconut
135.4,68.3,52.3,20.37,47.9,6.56,682.3,Clay,Rabi,North India,34.39,Available,8.57,Wheat
33.2,63.1,53.0,23.85,49.71,7.25,896.75,Black Soil,Kharif,West India,44.71,Rainfed,6.34,Soybean
81.3,63.2,31.2,16.97,61.18,6.77,419.42,Loamy,Rabi,West India,55.0,Available,7.86,Mustard
113.5,64.1,77.5,25.05,64.88,6.46,1086.28,Loamy,Rabi,North India,61.33,Drip Irrigation,8.19,Tomato
35.5,53.8,49.0,21.08,67.25,6.75,879.34,Black Soil,Kharif,Central India,63.14,Available,6.5,Soybean
100.8,42.8,58.8,24.37,57.47,5.65,947.93,Red Soil,Kharif,North India,56.43,Rainfed,8.21,Maize
107.1,92.8,86.3,23.19,69.63,6.21,745.32,Loamy,Rabi,South India,58.68,Available,8.77,Tomato
39.8,33.2,53.7,24.78,63.7,5.94,843.52,Loamy,Kharif,West India,37.33,Rainfed,9.18,Groundnut
90.2,42.3,36.0,30.55,75.4,5.86,804.21,Loamy,Kharif,North India,55.75,Available,9.09,Maize
127.0,49.9,57.1,22.63,82.21,5.05,2598.06,Peaty,Whole Year,South India,78.56,Rainfed,4.85,Tea
129.3,77.6,171.1,26.87,82.01,6.65,2340.9,Loamy,Whole Year,South India,78.54,Drip Irrigation,5.79,Banana
134.0,56.5,71.1,15.63,58.42,8.02,902.29,Black Soil,Kharif,Central India,55.8,Drip Irrigation,8.54,Cotton
35.2,43.0,26.9,18.4,47.41,6.59,436.65,Black Soil,Rabi,Central India,41.81,Rainfed,8.1,Chickpea
31.7,42.0,21.1,19.31,40.46,7.63,561.18,Black Soil,Rabi,Central India,43.48,Rainfed,7.46,Chickpea
71.6,44.0,41.9,12.61,52.63,6.15,371.0,Loamy,Rabi,North India,39.59,Rainfed,7.18,Mustard
72.0,48.6,34.8,24.89,62.45,6.25,966.78,Sandy,Kharif,Central India,49.3,Available,7.88,Maize
109.9,113.1,151.2,25.69,81.67,5.75,2601.03,Loamy,Whole Year,West India,78.62,Drip Irrigation,7.39,Banana
150.0,34.2,33.9,24.59,50.31,6.87,870.63,Loamy,Kharif,West India,48.8,Available,8.08,Cotton
18.7,53.2,37.5,12.38,54.54,6.76,501.76,Loamy,Rabi,East India,43.96,Available,9.0,Lentil
51.7,29.6,31.7,13.81,50.34,6.25,604.45,Loamy,Rabi,East India,38.42,Rainfed,7.6,Lentil
104.5,53.7,111.1,21.25,84.67,5.59,2189.37,Peaty,Whole Year,South India,61.39,Rainfed,7.75,Coffee
86.0,36.2,41.6,23.83,60.06,7.1,320.11,Loamy,Rabi,West India,44.47,Available,8.59,Mustard
32.1,51.3,44.3,21.53,57.06,7.12,507.06,Loamy,Rabi,Central India,46.65,Rainfed,7.88,Chickpea
91.8,55.4,110.1,22.13,81.24,6.09,2072.76,Loamy,Whole Year,South India,71.66,Available,5.96,Coffee
111.7,52.2,121.7,20.74,65.49,6.78,809.59,Sandy,Rabi,North India,70.74,Drip Irrigation,8.85,Tomato
84.5,39.6,72.0,22.88,83.11,5.74,2171.98,Loamy,Whole Year,East India,77.22,Rainfed,6.86,Tea
130.1,52.8,59.5,19.21,56.65,7.5,887.04,Loamy,Rabi,Central India,43.99,Available,4.86,Wheat
48.9,21.2,36.4,27.97,50.04,6.56,518.29,Loamy,Kharif,West India,29.15,Rainfed,8.15,Millet
149.4,72.7,91.0,29.26,66.73,6.89,1743.6,Loamy,Whole Year,West India,73.27,Available,6.29,Sugarcane
118.0,62.4,44.6,16.56,54.49,7.12,542.48,Clay,Rabi,North India,52.46,Canal Irrigation,8.1,Wheat
130.8,81.2,141.8,24.56,82.87,6.51,2227.01,Loamy,Whole Year,South India,81.79,Available,8.27,Banana
69.2,57.9,35.8,14.31,73.09,6.82,434.92,Loamy,Rabi,North India,34.62,Available,8.42,Mustard
93.1,56.6,69.5,19.1,81.7,5.25,2457.19,Loamy,Whole Year,East India,80.12,Rainfed,7.7,Tea
83.1,46.5,108.1,22.86,76.96,6.19,1626.28,Peaty,Whole Year,South India,70.17,Available,6.49,Coffee
135.6,56.6,67.7,23.44,79.91,5.5,2481.73,Loamy,Whole Year,Himalayan Region,79.51,Available,7.5,Tea
59.5,37.2,34.5,22.25,62.31,7.51,662.42,Loamy,Rabi,Himalayan Region,53.5,Rainfed,7.79,Barley
108.0,51.7,77.7,18.09,54.39,7.82,617.72,Black Soil,Kharif,West India,71.14,Rainfed,9.5,Cotton
128.0,101.7,168.4,29.07,73.83,6.28,1898.81,Loamy,Whole Year,West India,71.52,Available,9.56,Banana
129.8,51.2,73.1,20.27,86.88,4.64,2454.1,Peaty,Whole Year,East India,79.45,Available,5.99,Tea
55.4,42.0,38.6,29.73,56.52,6.79,708.12,Black Soil,Rabi,Central India,22.45,Available,8.64,Sorghum
31.6,39.5,31.9,22.92,40.38,7.55,525.67,Black Soil,Rabi,Central India,43.1,Available,8.85,Chickpea
88.6,55.6,93.7,22.45,80.61,5.33,2088.36,Loamy,Whole Year,South India,72.38,Rainfed,5.63,Coffee
110.4,56.4,112.0,27.17,65.74,6.46,1172.51,Sandy,Whole Year,West India,66.08,Available,8.82,Tomato
69.3,51.0,53.4,18.77,59.22,6.36,327.65,Loamy,Rabi,West India,43.07,Rainfed,10.4,Mustard
57.4,53.3,42.7,13.54,50.26,7.5,308.19,Loamy,Rabi,West India,39.04,Available,6.11,Mustard
90.2,60.3,31.3,19.94,53.58,7.51,506.47,Loamy,Rabi,West India,49.1,Available,8.35,Mustard
64.2,53.4,78.6,28.99,51.34,6.81,1013.72,Red Soil,Whole Year,North India,47.69,Rainfed,9.44,Mango
66.3,46.7,134.8,30.05,84.02,6.91,1898.42,Sandy,Whole Year,South India,82.37,Available,8.58,Coconut
58.2,28.2,44.8,27.22,42.76,6.79,894.55,Sandy,Kharif,West India,40.0,Rainfed,8.18,Sorghum
64.7,22.7,23.5,31.9,46.91,6.86,398.52,Sandy,Kharif,West India,42.12,Rainfed,8.08,Millet
15.6,56.1,26.9,19.06,49.69,7.28,642.84,Black Soil,Rabi,North India,36.34,Available,7.57,Chickpea
68.6,52.3,123.6,29.13,69.6,5.84,2027.73,Peaty,Whole Year,South India,66.59,Rainfed,6.13,Coffee
21.9,76.0,26.3,18.46,53.5,7.03,415.17,Loamy,Rabi,Central India,34.76,Rainfed,8.16,Chickpea
144.2,82.8,189.1,22.04,79.96,6.58,2083.18,Loamy,Whole Year,South India,73.79,Available,6.49,Banana
103.9,53.2,51.0,19.51,44.82,6.51,527.39,Loamy,Rabi,West India,46.22,Available,6.49,Wheat
43.2,38.0,103.1,28.85,80.56,6.26,2334.25,Sandy,Whole Year,West India,73.29,Available,9.83,Coconut
